Year,State_Abbreviation,State,Population,Violent_Crime,Homicide,Rape,Robbery,Aggravated_Assault,Property_Crime,Burglary
1986,CO,Colorado,3267000,17105,230,1382,4731,10762,212626,58531
1986,CT,Connecticut,3189000,13578,148,760,6129,6541,140411,38190
1986,DC,District of Columbia,626000,9423,194,328,4720,4181,42781,10815
1986,DE,Delaware,633000,2703,31,360,786,1526,27881,6598
1986,FL,Florida,11675000,121013,1371,6152,42822,70668,839651,259331
1986,GA,Georgia,6104000,35869,686,2678,13056,19449,297130,88695
1986,HI,Hawaii,1062000,2604,51,329,1129,1095,57626,14218
1986,IA,Iowa,2851000,6703,51,356,1197,5099,111633,27255
1986,ID,Idaho,1003000,2232,32,201,214,1785,39964,10065
1986,IL,Illinois,11533000,93454,1023,4765,37583,50083,548311,136306
1986,IN,Indiana,5504000,16937,329,1424,4954,10230,195233,48802
1986,KS,Kansas,2461000,9076,108,810,1958,6200,109607,29229
1986,KY,Kentucky,3728000,12467,248,860,3076,8283,102810,30725
1986,LA,Louisiana,4501000,34128,575,1806,10071,21676,239444,65751
1986,MA,Massachusetts,5832000,32476,208,1731,11239,19298,242989,62455
1986,MD,Maryland,4463000,37177,401,1944,13569,21263,212831,55593
1986,ME,Maine,1174000,1726,23,174,328,1201,38909,9433
1986,MI,Michigan,9145000,73517,1032,6167,27550,38768,520127,138040
1986,MN,Minnesota,4214000,11991,105,1338,4299,6249,171832,42319
1986,MO,Missouri,5066000,29310,464,1480,8624,18742,206463,57556
1986,MS,Mississippi,2625000,7196,295,678,1697,4526,80612,28242
1986,MT,Montana,819000,1289,24,142,160,963,35393,6491
1986,NC,North Carolina,6331000,30128,515,1673,5551,22389,244121,77557
1986,ND,North Dakota,679000,348,7,79,47,215,17343,2615
1986,NE,Nebraska,1598000,4196,50,393,817,2936,57418,11956
1986,NH,New Hampshire,1027000,1433,23,221,242,947,32767,7754
1986,NJ,New Jersey,7620000,43623,399,2531,20473,20220,355764,81595
1986,NM,New Mexico,1479000,10731,170,693,1916,7952,87266,27283
1986,NV,Nevada,963000,6923,121,625,2763,3414,53647,15446
1986,NY,New York,17772000,175210,1907,5415,91360,76528,849827,217010
1986,OH,Ohio,10752000,45260,595,4151,15283,25231,423387,106212
